,final_price,list_price,bedrooms,bathrooms,sqft,parking,type,full_address,lat,long
174,835000.0,799900.0,3.0,2.0,,1.0,1,"455 Melita Cres, Toronto ",43.67227596711346,-79.42631104838664
175,784000.0,799900.0,4.53,2.0,2000.0,4.0,3,"3 Calumet Cres, Toronto ",43.76170198007277,-79.23544078732216
176,1555000.0,1550000.0,5.52,4.0,3000.0,4.0,3,"41 Nairn Ave, Toronto ",43.67789069,-79.44898213666667
177,665000.0,679000.0,2.52,2.0,,2.0,3,"694 Old Weston Rd, Toronto ",43.68111524117647,-79.46721038235296
178,1060000.0,899000.0,3.0,1.0,,0.0,2,"120 Cambridge Ave, Toronto ",43.67945616363636,-79.35956655454545
179,1078000.0,1089900.0,3.51,3.0,3500.0,1.0,2,"201 Torrens Ave, Toronto ",43.692012846967316,-79.34569311207987
180,1220000.0,1289000.0,4.0,5.0,,2.0,3,"989 St Clarens Ave, Toronto ",43.67318906666666,-79.44793899999998
181,890000.0,799000.0,3.52,3.0,,4.0,3,"22 Stainforth Dr, Toronto ",43.79367618128628,-79.28660088910627
182,1377000.0,1099000.0,3.51,3.0,,1.0,1,"80 Logan Ave, Toronto ",43.65649547065113,-79.34093921698503
183,13180000.0,13180000.0,5.51,8.0,2500.0,6.0,3,"44 Burton Rd, Toronto ",43.6926734,-79.41923440000002
184,784000.0,799900.0,4.53,2.0,,4.0,3,"3 Calumet Cres, Toronto ",43.76170198007277,-79.23544078732216
185,1060000.0,899000.0,3.0,1.0,2000.0,0.0,2,"120 Cambridge Ave, Toronto ",43.67945616363636,-79.35956655454545
186,702000.0,649900.0,3.0,2.0,,1.0,1,"299 Maria St, Toronto ",43.666250449056605,-79.48200978490567
187,890000.0,799000.0,3.52,3.0,,4.0,3,"22 Stainforth Dr, Toronto ",43.79367618128628,-79.28660088910627
188,1078000.0,1089900.0,3.51,3.0,,1.0,2,"201 Torrens Ave, Toronto ",43.692012846967316,-79.34569311207987
189,661000.0,719900.0,2.52,3.0,,6.0,3,"230 Oakridge Dr, Toronto ",43.733836175,-79.226651075
190,780000.0,819900.0,3.51,4.0,,4.0,3,"33 Waterbridge Way, Toronto ",43.77248368333333,-79.14049780833331
191,1377000.0,1099000.0,3.51,3.0,,1.0,1,"80 Logan Ave, Toronto ",43.65649547065113,-79.34093921698503
192,2170000.0,2249000.0,3.0,5.0,1500.0,1.0,3,"41 Snowdon Ave, Toronto ",43.731220017647054,-79.4028142117647
193,1400000.0,1299000.0,3.51,2.0,2000.0,1.0,3,"276 Airdrie Rd, Toronto ",43.70809245333334,-79.36665276666666
194,2065000.0,2051000.0,3.0,3.0,2000.0,1.0,3,"23 Lee Ave, Toronto ",43.66788190000001,-79.29679038333335
